state,year,sex,age_group,age_group_detail,race,death_rate,death_rate_log,us_crude_rate,us_age_adjusted_rate,deaths,population,death_rate_z_score
Alabama,1999,Both Sexes,All Ages,All Ages,All Races,3.8521,0.6859297429366324,6.0382,6.057,169,4430143,-1.3425739899368465
Alabama,2000,Both Sexes,All Ages,All Ages,All Races,4.4857,0.739232053376588,6.1882,6.1749,197,4447100,-1.2397342721228617
Alabama,2001,Both Sexes,All Ages,All Ages,All Races,4.8915,0.7702258820173142,6.8057,6.7922,216,4467634,-1.1738688089143465
Alabama,2002,Both Sexes,All Ages,All Ages,All Races,4.7619,0.7605657166613231,8.1766,8.1957,211,4480089,-1.1949042057399344
Alabama,2003,Both Sexes,All Ages,All Ages,All Races,4.4333,0.7350636852927979,8.8881,8.8765,197,4503491,-1.2482393245430838
Alabama,2004,Both Sexes,All Ages,All Ages,All Races,6.3542,0.8665354364813466,9.366,9.3831,283,4530729,-0.9364577368712343
Alabama,2005,Both Sexes,All Ages,All Ages,All Races,6.333,0.8652816849956105,10.0884,10.0699,283,4569805,-0.939898712277889
Alabama,2006,Both Sexes,All Ages,All Ages,All Races,8.7498,0.9889957070024082,11.5373,11.4883,398,4628981,-0.5476275159192415
Alabama,2007,Both Sexes,All Ages,All Ages,All Races,11.0885,1.0823724148278342,11.9543,11.8775,511,4672840,-0.16803274311058197
Alabama,2008,Both Sexes,All Ages,All Ages,All Races,12.9811,1.1455413420202851,11.9864,11.8947,607,4718206,0.1391554670137047
Alabama,2009,Both Sexes,All Ages,All Ages,All Races,13.6077,1.16458184112653,12.0624,11.9388,630,4757938,0.24085901370285087
Alabama,2010,Both Sexes,All Ages,All Ages,All Races,11.7688,1.1061500845879044,12.4144,12.2966,547,4779736,-0.05761314079231477
Alabama,2011,Both Sexes,All Ages,All Ages,All Races,11.7632,1.1059595747071542,13.2674,13.1852,552,4802740,-0.05852207769218604
Alabama,2012,Both Sexes,All Ages,All Ages,All Races,12.0706,1.116295524130523,13.2208,13.1422,562,4822023,-0.008627934295691211
Alabama,2013,Both Sexes,All Ages,All Ages,All Races,12.7176,1.1372781348451457,13.9127,13.8005,598,4833722,0.0963867396715565
Alabama,2014,Both Sexes,All Ages,All Ages,All Races,15.1532,1.2082585703003614,14.7574,14.6831,723,4849377,0.49170936705119983
Alabama,2015,Both Sexes,All Ages,All Ages,All Races,15.6639,1.2217766507479888,16.304,16.2923,736,4858979,0.5746011661162285
Alabama,2016,Both Sexes,All Ages,All Ages,All Races,16.2075,1.235717778225771,19.6925,19.7851,756,4863300,0.6628329694679996
Alaska,1999,Both Sexes,All Ages,All Ages,All Races,7.4638,0.927565392412919,6.0382,6.057,46,624781,-0.7563583825682074
Alaska,2000,Both Sexes,All Ages,All Ages,All Races,7.1077,0.9088976706135962,6.1882,6.1749,48,626932,-0.8141570307903666
Alaska,2001,Both Sexes,All Ages,All Ages,All Races,9.3983,1.0169623430518873,6.8057,6.7922,62,633714,-0.44236937671095666
Alaska,2002,Both Sexes,All Ages,All Ages,All Races,12.1995,1.1205574803457217,8.1766,8.1957,84,642337,0.012293845417412717
Alaska,2003,Both Sexes,All Ages,All Ages,All Races,12.7245,1.1374965315413375,8.8881,8.8765,83,648414,0.09750667978032651
Alaska,2004,Both Sexes,All Ages,All Ages,All Races,12.7164,1.1372401415974518,9.366,9.3831,86,659286,0.09619196747872716
Alaska,2005,Both Sexes,All Ages,All Ages,All Races,11.3744,1.0925241503929715,10.0884,10.0699,79,666946,-0.12162826816894955
Alaska,2006,Both Sexes,All Ages,All Ages,All Races,11.0604,1.0813617120256858,11.5373,11.4883,76,675302,-0.17259365862600654
Alaska,2007,Both Sexes,All Ages,All Ages,All Races,10.0941,1.0450920762041163,11.9543,11.8775,72,680300,-0.32943396690197524
Alaska,2008,Both Sexes,All Ages,All Ages,All Races,18.1345,1.2818171182418328,11.9864,11.8947,127,687455,0.9756046491200658
Alaska,2009,Both Sexes,All Ages,All Ages,All Races,17.8528,1.2753758603372203,12.0624,11.9388,131,698895,0.9298818768533366
Alaska,2010,Both Sexes,All Ages,All Ages,All Races,11.5962,1.1002395476620939,12.4144,12.2966,83,710231,-0.08562787452762714
Alaska,2011,Both Sexes,All Ages,All Ages,All Races,14.2364,1.1828823656371392,13.2674,13.1852,107,722718,0.34290341172944877
Alaska,2012,Both Sexes,All Ages,All Ages,All Races,17.4251,1.2654098536182172,13.2208,13.1422,129,731449,0.8604618211256831
Alaska,2013,Both Sexes,All Ages,All Ages,All Races,14.3519,1.186162132806777,13.9127,13.8005,105,735132,0.3616502352892899
Alaska,2014,Both Sexes,All Ages,All Ages,All Races,16.7585,1.249406279616309,14.7574,14.6831,124,736732,0.7522658680088866
Alaska,2015,Both Sexes,All Ages,All Ages,All Races,15.9606,1.229441211840506,16.304,16.2923,122,738432,0.6227585907933265
Alaska,2016,Both Sexes,All Ages,All Ages,All Races,16.8331,1.2512268449066843,19.6925,19.7851,128,741894,0.7643742059964549
Arizona,1999,Both Sexes,All Ages,All Ages,All Races,10.5549,1.0627661913005355,6.0382,6.057,511,5023824,-0.25464144485544055
Arizona,2000,Both Sexes,All Ages,All Ages,All Races,10.5896,1.0640684471119524,6.1882,6.1749,522,5130632,-0.24900928227945354
Arizona,2001,Both Sexes,All Ages,All Ages,All Races,10.9008,1.0755761566788786,6.8057,6.7922,552,5273477,-0.1984983602723322
Arizona,2002,Both Sexes,All Ages,All Ages,All Races,12.005,1.1141103565318915,8.1766,8.1957,624,5396255,-0.019275480837038127
Arizona,2003,Both Sexes,All Ages,All Ages,All Races,12.7405,1.1380025364564315,8.8881,8.8765,674,5510364,0.10010364235138673
Arizona,2004,Both Sexes,All Ages,All Ages,All Races,13.6816,1.166773387549136,9.366,9.3831,744,5652404,0.2528537345779353
Arizona,2005,Both Sexes,All Ages,All Ages,All Races,14.135,1.1799824252925917,10.0884,10.0699,794,5839077,0.32644516143535457
Arizona,2006,Both Sexes,All Ages,All Ages,All Races,14.9163,1.2018421163952282,11.5373,11.4883,876,6029141,0.4532580899834393
Arizona,2007,Both Sexes,All Ages,All Ages,All Races,15.7117,1.2230206308069818,11.9543,11.8775,943,6167681,0.582359591797271
Arizona,2008,Both Sexes,All Ages,All Ages,All Races,13.5455,1.162728654665835,11.9864,11.8947,828,6280362,0.2307633217078544
Arizona,2009,Both Sexes,All Ages,All Ages,All Races,16.1338,1.2338536931471016,12.0624,11.9388,1002,6343154,0.6508707106250537
Arizona,2010,Both Sexes,All Ages,All Ages,All Races,17.4977,1.2671177316783706,12.4144,12.2966,1098,6392017,0.8722455387918686
Arizona,2011,Both Sexes,All Ages,All Ages,All Races,16.8532,1.2517160701841354,13.2674,13.1852,1071,6482505,0.7676366402263493
Arizona,2012,Both Sexes,All Ages,All Ages,All Races,17.6797,1.2713698970872869,13.2208,13.1422,1134,6553255,0.9017859880376791
Arizona,2013,Both Sexes,All Ages,All Ages,All Races,18.7376,1.2952943433628066,13.9127,13.8005,1222,6626624,1.0734939070329674
Arizona,2014,Both Sexes,All Ages,All Ages,All Races,18.1685,1.2825881291946537,14.7574,14.6831,1211,6731484,0.9811231945835692
Arizona,2015,Both Sexes,All Ages,All Ages,All Races,19.0161,1.301379462080545,16.304,16.2923,1274,6828065,1.1186972867854847
Arizona,2016,Both Sexes,All Ages,All Ages,All Races,20.2697,1.327761364408446,19.6925,19.7851,1382,6931071,1.3221693042280533
Arkansas,1999,Both Sexes,All Ages,All Ages,All Races,4.4161,0.7336866743342627,6.0382,6.057,113,2651860,-1.2510310593069736
Arkansas,2000,Both Sexes,All Ages,All Ages,All Races,5.3887,0.8054124950497237,6.1882,6.1749,140,2673400,-1.09316819701865
Arkansas,2001,Both Sexes,All Ages,All Ages,All Races,4.846,0.7668588110214176,6.8057,6.7922,126,2691571,-1.181253921225799
Arkansas,2002,Both Sexes,All Ages,All Ages,All Races,6.8274,0.8936175279369108,8.1766,8.1957,176,2705927,-0.859652568832128
Arkansas,2003,Both Sexes,All Ages,All Ages,All Races,7.0314,0.9047912562722685,8.8881,8.8765,184,2724816,-0.8265412960511102
Arkansas,2004,Both Sexes,All Ages,All Ages,All Races,8.6534,0.9846803020663741,9.366,9.3831,230,2749686,-0.5632742154098795
Arkansas,2005,Both Sexes,All Ages,All Ages,All Races,10.0735,1.0442849099883322,10.0884,10.0699,269,2781097,-0.3327775562122153
Arkansas,2006,Both Sexes,All Ages,All Ages,All Races,10.4539,1.0589533871204417,11.5373,11.4883,285,2821761,-0.2710347710852581
Arkansas,2007,Both Sexes,All Ages,All Ages,All Races,10.8886,1.0751307151676417,11.9543,11.8775,301,2848650,-0.20047854423276562
Arkansas,2008,Both Sexes,All Ages,All Ages,All Races,13.0512,1.1477134154242938,11.9864,11.8947,360,2874554,0.15053340927816236
Arkansas,2009,Both Sexes,All Ages,All Ages,All Races,12.5975,1.1334590674872087,12.0624,11.9388,351,2896843,0.07689328937253584
Arkansas,2010,Both Sexes,All Ages,All Ages,All Races,12.5146,1.1308031961417695,12.4144,12.2966,350,2915918,0.06343777705122997
Arkansas,2011,Both Sexes,All Ages,All Ages,All Races,12.6401,1.1348175542859287,13.2674,13.1852,355,2937979,0.08380770221798373
Arkansas,2012,Both Sexes,All Ages,All Ages,All Races,13.0962,1.1491020529777478,13.2208,13.1422,373,2949131,0.15783736650926924
Arkansas,2013,Both Sexes,All Ages,All Ages,All Races,11.0713,1.081754043289101,13.9127,13.8005,319,2959373,-0.17082447787447155
Arkansas,2014,Both Sexes,All Ages,All Ages,All Races,12.55,1.1319392952104246,14.7574,14.6831,356,2966369,0.06918355673970088
Arkansas,2015,Both Sexes,All Ages,All Ages,All Races,13.8454,1.1715919038823754,16.304,16.2923,392,2978204,0.2794401388991644
Arkansas,2016,Both Sexes,All Ages,All Ages,All Races,13.9917,1.1758508829321657,19.6925,19.7851,401,2988248,0.3031861154082964
California,1999,Both Sexes,All Ages,All Ages,All Races,8.0599,0.9571234041130307,6.0382,6.057,2662,33499204,-0.6596052957801447
California,2000,Both Sexes,All Ages,All Ages,All Races,5.8355,0.83477028763813,6.1882,6.1749,1941,33871648,-1.020648017221793
California,2001,Both Sexes,All Ages,All Ages,All Races,3.6186,0.6645103512235819,6.8057,6.7922,1226,34479458,-1.3804734124582567
California,2002,Both Sexes,All Ages,All Ages,All Races,8.6703,0.9854399473325977,8.1766,8.1957,2975,34871843,-0.5605311736941972
California,2003,Both Sexes,All Ages,All Ages,All Races,8.9283,0.9968748916147782,8.8881,8.8765,3108,35253159,-0.5186551522358509
California,2004,Both Sexes,All Ages,All Ages,All Races,8.8191,0.9920716830062839,9.366,9.3831,3125,35574576,-0.536379421783337
California,2005,Both Sexes,All Ages,All Ages,All Races,8.9735,0.9988475920070718,10.0884,10.0699,3214,35827943,-0.5113187329726059
California,2006,Both Sexes,All Ages,All Ages,All Races,9.6031,1.0254328573464464,11.5373,11.4883,3494,36021202,-0.40912825580138595
California,2007,Both Sexes,All Ages,All Ages,All Races,10.4807,1.0599683686254764,11.9543,11.8775,3854,36250311,-0.26668485877873227
California,2008,Both Sexes,All Ages,All Ages,All Races,10.3705,1.0557795625299975,11.9864,11.8947,3863,36604337,-0.2845714384869097
California,2009,Both Sexes,All Ages,All Ages,All Races,10.7369,1.0695534043498243,12.0624,11.9388,4056,36961229,-0.2251009956096304
California,2010,Both Sexes,All Ages,All Ages,All Races,10.5598,1.06295032027415,12.4144,12.2966,4057,37253956,-0.2538461250680535
California,2011,Both Sexes,All Ages,All Ages,All Races,10.7344,1.0694608882805088,13.2674,13.1852,4180,37691912,-0.22550677101135846
California,2012,Both Sexes,All Ages,All Ages,All Races,10.2923,1.0527824074321865,13.2208,13.1422,4040,38041430,-0.2972640930529667
California,2013,Both Sexes,All Ages,All Ages,All Races,11.1379,1.0841435551657277,13.9127,13.8005,4452,38332521,-0.16001462117243345
California,2014,Both Sexes,All Ages,All Ages,All Races,11.102,1.0828571485964091,14.7574,14.6831,4521,38802500,-0.16584155594124983
California,2015,Both Sexes,All Ages,All Ages,All Races,11.3219,1.0906776798977074,16.304,16.2923,4659,39144818,-0.13014955160524097
California,2016,Both Sexes,All Ages,All Ages,All Races,11.2218,1.0871351725594693,19.6925,19.7851,4654,39250017,-0.14639679869043642
Colorado,1999,Both Sexes,All Ages,All Ages,All Races,7.9895,0.9537355367521662,6.0382,6.057,349,4226018,-0.6710319310928099
Colorado,2000,Both Sexes,All Ages,All Ages,All Races,7.8839,0.9486036613473259,6.1882,6.1749,352,4301261,-0.6881718840618074
Colorado,2001,Both Sexes,All Ages,All Ages,All Races,8.9896,0.9995480987093969,6.8057,6.7922,411,4425687,-0.5087055393854766
Colorado,2002,Both Sexes,All Ages,All Ages,All Races,9.7169,1.0300691783050522,8.1766,8.1957,448,4490406,-0.39065735951471986
Colorado,2003,Both Sexes,All Ages,All Ages,All Races,10.7497,1.0700267780964483,8.8881,8.8765,502,4528732,-0.22302342555278215
Colorado,2004,Both Sexes,All Ages,All Ages,All Races,10.9393,1.076978864896442,9.366,9.3831,518,4575013,-0.19224941908571866
Colorado,2005,Both Sexes,All Ages,All Ages,All Races,12.6913,1.1364446867038824,10.0884,10.0699,608,4631888,0.0921179824453764
Colorado,2006,Both Sexes,All Ages,All Ages,All Races,12.8239,1.1406305835256405,11.5373,11.4883,627,4720423,0.11364030975303806
Colorado,2007,Both Sexes,All Ages,All Ages,All Races,14.7299,1.1967259616832844,11.9543,11.8775,734,4803868,0.4230034760305878
Colorado,2008,Both Sexes,All Ages,All Ages,All Races,14.7725,1.1979005360780213,11.9864,11.8947,749,4889730,0.4299178888760357
Colorado,2009,Both Sexes,All Ages,All Ages,All Races,14.9699,1.2033021966905078,12.0624,11.9388,769,4972195,0.46195791459649127
Colorado,2010,Both Sexes,All Ages,All Ages,All Races,12.6675,1.1356890825635948,12.4144,12.2966,654,5029196,0.08825500062092438
Colorado,2011,Both Sexes,All Ages,All Ages,All Races,16.1231,1.2335823929939946,13.2674,13.1852,843,5116796,0.6491339919056572
Colorado,2012,Both Sexes,All Ages,All Ages,All Races,15.0082,1.2043425015622997,13.2208,13.1422,807,5187582,0.4681743937509666
Colorado,2013,Both Sexes,All Ages,All Ages,All Races,15.5429,1.2186116444909412,13.9127,13.8005,846,5268367,0.5549616366725855
Colorado,2014,Both Sexes,All Ages,All Ages,All Races,16.2953,1.237928099580481,14.7574,14.6831,899,5355866,0.6770838015766929
Colorado,2015,Both Sexes,All Ages,All Ages,All Races,15.368,1.213995616368085,16.304,16.2923,869,5456574,0.5265735895676835
Colorado,2016,Both Sexes,All Ages,All Ages,All Races,16.5808,1.2450386334044492,19.6925,19.7851,942,5540545,0.7234233524540487
Connecticut,1999,Both Sexes,All Ages,All Ages,All Races,8.9845,0.99932632131709,6.0382,6.057,310,3386401,-0.5095333212050018
Connecticut,2000,Both Sexes,All Ages,All Ages,All Races,9.2232,1.009586857130916,6.1882,6.1749,320,3405565,-0.4707898858479971
Connecticut,2001,Both Sexes,All Ages,All Ages,All Races,8.7869,0.9906451508334079,6.8057,6.7922,307,3432835,-0.5416058089575958
Connecticut,2002,Both Sexes,All Ages,All Ages,All Races,10.2713,1.0519740092374577,8.1766,8.1957,354,3458749,-0.30067260642748306
